,time_stamp,Acceleration,Gravity,Lidar,Pixel,Velocity,Magnetic,Position,Orientation,Perception,Speed,Behavior
0,2011-01-01 00:00:00,2.08511002351,-2.18286280701,-11.0381471378,324.26710100400004,71.9934092469,-49.0309555333,1.14960533389,21.2683174072,112.716299755,300.473177583,walk
1,2011-01-01 01:00:00,3.6016224672099995,-23.826763539699996,-2.15964642473,307.215709133,97.95070990139999,-26.6351898532,0.186751318796,20.7945039458,56.042478137399996,301.291353061,wait
3,2011-01-01 03:00:00,1.5116628631600002,-2.99234244493,-1.42581364021,309.200210109,70.4966915632,-16.677590845799998,0.38245435764200003,51.9924906869,62.3554779575,300.57291787099996,run
5,2011-01-01 05:00:00,0.46169297384400004,-24.530713143099998,-9.48736977214,312.42853142900003,5.56053570012,33.7551753587,-0.480366318417,36.494409156399996,95.83798556120001,300.168962148,wait
7,2011-01-01 07:00:00,1.7278036352200001,-11.9885563226,-6.19984443669,281.686786448,80.8579549445,31.589484431,-1.12762759046,27.669860083400003,-46.8872278916,300.13345893900004,walk
8,2011-01-01 08:00:00,1.9838373711500001,-14.1556162049,-9.34906898173,305.137263273,24.9622145479,-29.782117526999997,0.193016686014,22.9815428085,59.8027169015,300.785403016,walk
9,2011-01-01 09:00:00,2.6940836700200004,-8.69707828103,-2.86244945327,318.324147117,-7.248259247719999,17.5389776439,1.20602399729,4.55002314297,-100.268372532,300.587564946,run
10,2011-01-01 10:00:00,2.0959725720200004,-19.6348652652,-1.03431261387,287.889898125,64.2891081209,35.9142176562,0.423314443707,12.6740203731,-51.782497397,300.745253716,walk
11,2011-01-01 11:00:00,3.42609750198,-6.72946445616,-3.7065034504,277.33606437,60.7742432816,-62.1742464724,-1.21835501915,18.088409088699997,26.8717902631,300.86907374099997,wait
12,2011-01-01 12:00:00,1.02226124866,-1.9730730631599998,-4.6003119658,308.302978985,27.6616091659,20.0056574763,-0.566794225014,44.2398802437,186.842403477,300.24856843099997,run
13,2011-01-01 13:00:00,4.39058718195,-22.4068599696,-3.4850418005900003,298.878301771,59.4117695683,-71.6908505607,-0.431660296038,0.53929842747,-2.75819860712,301.640905752,wait
15,2011-01-01 15:00:00,3.3523375508899997,-31.514385685300002,-5.090185654090001,301.395667731,27.6460852242,35.1213567251,0.0148276136343,22.4172790387,-123.010762229,301.09892386900003,wait
16,2011-01-01 16:00:00,2.0865240118400004,-33.8462703322,-8.81672510494,293.975943112,56.4177563767,-28.731737810100004,-0.895055426767,56.0458254482,189.88379764200002,300.371687091,wait
17,2011-01-01 17:00:00,2.79344914223,-6.28571935314,-1.69625193736,294.554540947,-13.542794885,-24.3390060592,0.46291956984899996,55.295141907,-47.8588921572,301.036081297,walk
18,2011-01-01 18:00:00,0.701934692976,-32.0450405871,-3.5738864529,331.18354206099997,16.7282921674,-31.8768307544,1.47192995829,57.4317486556,-105.969011999,300.458917562,walk
20,2011-01-01 20:00:00,4.00372284338,-18.1018548172,-2.29954678569,305.10153111700004,74.035846217,-19.2357703975,0.8498476981990001,24.1127509719,32.2318560119,301.141925462,walk
22,2011-01-01 22:00:00,1.5671208908,-29.6986523457,-8.163318531960002,293.866376371,-43.3573413817,30.2871247402,-0.964885086964,4.069183568530001,62.5833691999,300.436486786,walk
23,2011-01-01 23:00:00,3.4616130783499997,-11.779845800699999,-8.14726977565,314.35088552,67.3639782652,0.875730576021,0.385529596338,28.3284977946,216.387420055,300.776751584,walk
24,2011-01-02 00:00:00,4.38194576148,-16.9813149516,-8.472475134360002,296.634187705,126.99843260200001,19.328239938299998,-0.485421181879,63.081214343199996,-100.410540766,301.148687667,wait
25,2011-01-02 01:00:00,4.47303331752,-34.0786523516,-6.6383072822399996,298.523028647,111.931233476,5.28298958945,-1.05182587047,51.644503065,132.091806569,301.688867642,walk
26,2011-01-02 02:00:00,0.425221056849,-15.448433744,-8.5553954276,288.5080729,103.943141755,32.808863273,0.129197233636,8.442690170319999,19.146708265,300.430308445,walk
27,2011-01-02 03:00:00,0.195273916164,-0.7008414194220001,-9.47534511381,323.21545065,-112.907595435,18.0714034331,-1.02563760869,8.62114399666,-75.6533431039,300.033923785,run
29,2011-01-02 05:00:00,4.39071251715,-27.366913571599998,-2.59933213155,317.80776616099996,32.7986366569,-16.276810168900003,1.39143253975,0.156363497457,-43.9303299525,301.187087297,run
30,2011-01-02 06:00:00,0.491734169165,-11.605165550799999,-0.223832865619,287.76528373,35.3986315194,14.4728670766,-0.702811857758,0.566431881101,2.49639412162,300.31624001,walk
32,2011-01-02 08:00:00,4.78944765075,-34.2596747485,-1.6755174465,298.87532977,-2.1690445934099998,35.5678111764,-0.302844650045,26.1463340973,-121.780919427,301.414319529,wait
33,2011-01-02 09:00:00,2.66582642487,-31.8079017313,-10.219022280499999,324.785535884,75.87281966970001,27.6279030685,1.16600772476,11.8861033935,30.264791734499997,300.710195262,walk
35,2011-01-02 11:00:00,1.5775781550299999,-6.49369840028,-2.2141889694,302.37029446,-3.9707641278600003,11.958681067799999,-0.688333488522,32.9617626318,-85.460258931,300.691246755,run
37,2011-01-02 13:00:00,4.17312835949,-27.291326985100003,-7.11079223881,316.41340241,-97.36096010370001,-2.9466078799599997,-0.815642157667,51.84302857350001,-114.78875632100001,301.33768816599996,wait
38,2011-01-02 14:00:00,0.091441386721,-4.54771176177,-2.10039844517,294.764416335,51.848607455,-39.5593679017,0.560093567489,5.49045483947,-20.493284752,299.919229067,wait
40,2011-01-02 16:00:00,4.94430544453,-17.3918790753,-3.2144381524299996,323.91204369900004,24.871576709499998,-17.1089354936,1.0293364901,58.213200522600005,-90.7583703109,301.51619373,wait
42,2011-01-02 18:00:00,1.40221996032,-27.987846242199996,-10.1324790787,303.295150245,-24.2795686263,7.323287394349999,0.828180316795,48.422080595,108.239824841,300.271433999,run
43,2011-01-02 19:00:00,3.9463966422600003,-6.23098616809,-1.5673373374500001,304.146490514,34.3734130531,5.651432413169999,-1.4310689820200002,5.95851001548,-25.3294698688,301.077420916,run
45,2011-01-02 21:00:00,2.23946763088,-28.477301881,-0.918235761521,305.798853652,-41.7533684631,-12.0445432546,0.7075772453910001,44.283858360699995,-28.5985301921,300.86278890799997,walk
46,2011-01-02 22:00:00,4.54297751547,-32.5891243624,-2.63018892844,296.66252530400004,78.2192061541,-0.897822606786,-0.638213014409,42.660191086,54.1432593108,301.4822553,walk
47,2011-01-02 23:00:00,1.46807074187,-25.7942643343,-0.9063115635340001,306.945287602,12.6824200754,33.7876250138,-1.20052852199,60.4703923358,60.116110856000006,300.521820591,walk
49,2011-01-03 01:00:00,0.650142860591,-11.0727005974,-2.4257937006,318.281835266,71.2804319567,21.606145610100004,1.0724216034,57.9489243497,16.5682986003,300.22617425,walk
